change_plants|Pflanzen ändern
buildinginfo.json/StatueOfTheKey.name|Statue des Schlüssels
buildinginfo.json/StatueOfTheKey.description|Das Geburtstagsgeschenk eines Mitglieds der Geheimen Gesellschaft des Schlüssels, an dich anlässlich des 500 Geburtstages.
buildinginfo.json/Beacon.name|Der Beacon
buildinginfo.json/Beacon.description|Ein Dankeschön deiner Einwohner für das Einläuten einer Ära der Glücks.
buildinginfo.json/Beacon.showUnlockHint|Habe eine Zufriedenheit von :D oder besser für mindestens 14 Tage!
buildinginfo.json/ShadyHome.name|
buildinginfo.json/ShadyHome.description|
buildinginfo.json/UnknownBuilding.name|Unbekanntes Gebäude
buildinginfo.json/UnknownBuilding.description|???
|
buildingUpgradesInfo.json/Flowers.name|Blumen
buildingUpgradesInfo.json/Flowers.description|Blumen erhöhen die Zufriedenheit der Bewohner. Verbessert die Wohnqualität um 5.
buildingUpgradesInfo.json/MachinePartsFactoryEfficiency.name|Recycling von Altmetall
buildingUpgradesInfo.json/MachinePartsFactoryEfficiency.description|Statt 3 werden nun 2 Steine für ein Maschinenteil genutzt.
buildingUpgradesInfo.json/FactoryDisabled.name|Fabrik deaktivieren
buildingUpgradesInfo.json/FactoryDisabled.description|Die Produktion wird angehalten.
buildingUpgradesInfo.json/StoneUsingFactoryDisabled.name|Fabrik deaktivieren
buildingUpgradesInfo.json/StoneUsingFactoryDisabled.description|Die Produktion wird angehalten. Kein Stein wird verbraucht.
buildingUpgradesInfo.json/RefinedStoneUsingFactoryDisabled.name|Fabrik deaktivieren
buildingUpgradesInfo.json/RefinedStoneUsingFactoryDisabled.description|Die Produktion wird angehalten. Keine veredelten Metalle werden verbraucht.
buildingUpgradesInfo.json/MachinePartsFactoryTurbo.name|Turbo Boost
buildingUpgradesInfo.json/MachinePartsFactoryTurbo.description|Die Fabrik arbeitet doppelt so schnell, benötigt allerdings auch 2 Steine mehr pro Maschinenteil.
buildingUpgradesInfo.json/RefinedMetalsFactoryHack.name|Firmware Modifizierung
buildingUpgradesInfo.json/RefinedMetalsFactoryHack.description|Die Fabrik arbeitet 50% schneller, benötigt allerdings auch einen Stein mehr pro veredeltes Metall.
buildingUpgradesInfo.json/FactoryWorking.name|Fabrik aktivieren
buildingUpgradesInfo.json/FactoryWorking.description|Die Fabrik arbeitet normal.
buildingUpgradesInfo.json/LabWorking.name|Labor aktivieren
buildingUpgradesInfo.json/LabWorking.description|Das Labor arbeitet normal.
buildingUpgradesInfo.json/LabDisabled.name|Labor deaktivieren
buildingUpgradesInfo.json/LabDisabled.description|Das Labor benutzt weder Maschinenteile, noch produziert es Wissen. Es boostet trotzdem Fabriken für veredelte Metalle.
buildingUpgradesInfo.json/LiteratureReviews.name|Literaturberichte
buildingUpgradesInfo.json/LiteratureReviews.description|Labor benutzt keine Maschinenteile und der Wissensgewinn ist halbiert. Es boostet trotzdem noch Fabriken für veredelte Metalle.
buildingUpgradesInfo.json/FarmingResearch.name|Gentechnische Pflanzenzüchtung
buildingUpgradesInfo.json/FarmingResearch.description|Pflanzen anliegender Farmen produzieren 7 zusätzliche Nahrung pro Ernte.
buildingUpgradesInfo.json/TreePlantationResearch.name|Bäumliches Wachstumsgas
buildingUpgradesInfo.json/TreePlantationResearch.description|Bäume in anliegenden Plantagen wachsen 20% schneller.
buildingUpgradesInfo.json/BetterPickaxes.name|Bessere Spitzhacken
buildingUpgradesInfo.json/BetterPickaxes.description|Bessere Spitzhacken beschleunigen den Abbau um 20%.
buildingUpgradesInfo.json/AIMining.name|KI-unterstützter Abbau
buildingUpgradesInfo.json/AIMining.description|Mithilfe einer KI beschleunigt sich der Abbau um 30%.
buildingUpgradesInfo.json/DieShrink.name|Schrumpfschlauch
buildingUpgradesInfo.json/DieShrink.description|Die Fabrik arbeitet 50% schneller und nutzt zwei veredelte Metalle weniger pro Computerchip.
buildingUpgradesInfo.json/BetterLightShow.name|Bessere Lichtshow
buildingUpgradesInfo.json/BetterLightShow.description|Die Kapazität des Gebäudes verdoppelt sich.
buildingUpgradesInfo.json/MedicalEducation.name|Verbesserte medizinische Ausbildung
buildingUpgradesInfo.json/MedicalEducation.description|Die Qualität des Gebäudes verbessert sich um 25% des Bildungsfaktors.
buildingUpgradesInfo.json/AIAssistedDiagnosis.name|KI-Diagnostik
buildingUpgradesInfo.json/AIAssistedDiagnosis.description|Die Qualität verbessert sich um 25 und die Kapazität verdoppelt sich.
buildingUpgradesInfo.json/StoneTeleporterRemote.name|Fernsteuerung
buildingUpgradesInfo.json/StoneTeleporterRemote.description|Der Arbeiter kann auch Felsen teleportieren, wenn er eigentlich woanders ist. Dadurch kann er ebenfalls die teleportierten Steine abbauen.
buildingUpgradesInfo.json/BiggerTV.name|Größerer Fernseher
buildingUpgradesInfo.json/BiggerTV.description|Verbessert die Wohnqualität um 5 und fügt einen Wohnraum hinzu.
buildingUpgradesInfo.json/ModernHomePlant.name|Luftreinigende Pflanze
buildingUpgradesInfo.json/ModernHomePlant.description|Eine Pflanze, die gezüchtet wurde, um die Luft extrem gut zu reinigen. Verbessert die Wohnqualität um 10 und lässt die Bewohner länger leben.
buildingUpgradesInfo.json/HeatedBed.name|Beheiztes Bett
buildingUpgradesInfo.json/HeatedBed.description|Verbessert die Wohnqualität um 20.
buildingUpgradesInfo.json/SmartChairs.name|Intelligente Stühle
buildingUpgradesInfo.json/SmartChairs.description|Verbessert die Wohnqualität um 10.
buildingUpgradesInfo.json/ModernConveniences.name|Moderne Annehmlichkeiten
buildingUpgradesInfo.json/ModernConveniences.description|Verbessert die Wohnqualität um 15.
buildingUpgradesInfo.json/WorkshopKnowledge.name|Haustier-Projekte
buildingUpgradesInfo.json/WorkshopKnowledge.description|Sammle Wissen.
buildingUpgradesInfo.json/WorkshopMachineParts.name|Maschinenteile herstellen
buildingUpgradesInfo.json/WorkshopMachineParts.description|Stelle Maschinenteile aus Holz her.
buildingUpgradesInfo.json/StarDatabase.name|Stern-Datenbank
buildingUpgradesInfo.json/StarDatabase.description|Dieses Gebäude produziert 50% mehr Wissen. Wenn das Upgrade Präzise Universumskartierung des Supercomputers erforscht wurde, produziert es stattdessen 500% mehr Wissen.
buildingUpgradesInfo.json/SofterBeds.name|Äußerst weiche Betten
buildingUpgradesInfo.json/SofterBeds.description|Verbessert die Wohnqualität um 10.
buildingUpgradesInfo.json/BoardGameCollection.name|Brettspiel-Sammlung
buildingUpgradesInfo.json/BoardGameCollection.description|Verbessert die Wohnqualität um 15.
buildingUpgradesInfo.json/SmartLights.name|Intelligente Lichter
buildingUpgradesInfo.json/SmartLights.description|Verbessert die Wohnqualität um 15.
buildingUpgradesInfo.json/LivingComputer.name|Wohncomputer
buildingUpgradesInfo.json/LivingComputer.description|Verbessert die Wohnqualität um 20.
buildingUpgradesInfo.json/BetterTools.name|Bessere Werkzeuge
buildingUpgradesInfo.json/BetterTools.description|Verbessert die Wohnqualität um 20.
buildingUpgradesInfo.json/MisdirectorNormal.name|Aktivieren
buildingUpgradesInfo.json/MisdirectorNormal.description|Der Fehlleiter ist vorhersehbar unberechenbar.
buildingUpgradesInfo.json/MisdirectorAlways.name|Overclock
buildingUpgradesInfo.json/MisdirectorAlways.description|Jeder Teleportationsversuch bringt Leute hierher. Perfekt, um übermäßige Produktivität zu stoppen.\nDer Wissensgewinn pro Felleitung wird um 90% reduziert, da das Gerät überlastet ist.
buildingUpgradesInfo.json/MisdirectorMostlyDisabled.name|Meistens deaktivieren
buildingUpgradesInfo.json/MisdirectorMostlyDisabled.description|Es gibt einen Ausschaltknopf. Er funktioniert meistens.
buildingUpgradesInfo.json/MisdirectorDisabled.name|Deaktivieren
buildingUpgradesInfo.json/MisdirectorDisabled.description|Mit etwas Mühe kann der Fehlleiter gezähmt werden.
buildingUpgradesInfo.json/IndoorPond.name|Innen-Teich
buildingUpgradesInfo.json/IndoorPond.description|Verbessert die Wohnqualität um 15.
buildingUpgradesInfo.json/CHProduceStone.name|Stein
buildingUpgradesInfo.json/CHProduceStone.description|Produziere Stein.
buildingUpgradesInfo.json/CHProduceWood.name|Baum
buildingUpgradesInfo.json/CHProduceWood.description|Produziere Holz.
buildingUpgradesInfo.json/CHProduceFood.name|Ernten
buildingUpgradesInfo.json/CHProduceFood.description|Produziere Nahrung.
buildingUpgradesInfo.json/PickaxeTech.name|Peer-Reviewed Pickaxe Part Papers
buildingUpgradesInfo.json/PickaxeTech.description|Der Boost für die Steinproduktion wird erhöht und skaliert schneller mit der Wissensproduktion.
buildingUpgradesInfo.json/FossilScanner.name|Fossilien-Detektor
buildingUpgradesInfo.json/FossilScanner.description|Immer wenn ein Gesteinsteleporter einen Meteoriten teleportiert, besteht eine winzige Chance, dass ein Fossil darin entdeckt wird. Wenn dies geschieht, erhältst du 10000 Wissen.
buildingUpgradesInfo.json/UltimateScrewdriver.name|Ultra-Hightech Schraubenzieher
buildingUpgradesInfo.json/UltimateScrewdriver.description|Du erhältst zwei weitere Einheiten Wissen für jedes verwendete Maschinenteil.
buildingUpgradesInfo.json/AutomaticWaterManagement.name|Automatisches Wassermanagement
buildingUpgradesInfo.json/AutomaticWaterManagement.description|Die passive Wachstumsgeschwindigkeit dieser Bäume wird verdreifacht.
buildingUpgradesInfo.json/CulinaryHerbs.name|Kulinarische Kräuter
buildingUpgradesInfo.json/CulinaryHerbs.description|Erhöht die Kapazität der Restaurants links und rechts des Gartens.
buildingUpgradesInfo.json/MedicalHerbs.name|Medizinische Kräuter
buildingUpgradesInfo.json/MedicalHerbs.description|Verbessert das medizinische Wohlbefinden. Kräutergärten können insgesamt nicht mehr als 20% des medizinischen Wohlbefindens liefern.
buildingUpgradesInfo.json/ComfortableCouch.name|Bequeme Couch
buildingUpgradesInfo.json/ComfortableCouch.description|Verbessert die Wohnqualität um 15.
buildingUpgradesInfo.json/SmartSpeaker.name|Intelligenter Lautsprecher
buildingUpgradesInfo.json/SmartSpeaker.description|Verbessert die Wohnqualität um 10.
|
buildableWorldResourcesInfo.json/Forest.name|Wald
buildableWorldResourcesInfo.json/Forest.description|Pflanze junge Bäume, die zu einem Wald heranwachsen werden.
buildableWorldResourcesInfo.json/PineForest.name|Kiefernwald
buildableWorldResourcesInfo.json/PineForest.description|Pflanze junge Bäume, die zu einem Kiefernwald heranwachsen.
buildableWorldResourcesInfo.json/Rock.name|Felsen
buildableWorldResourcesInfo.json/Rock.description|Platziere einen Felsen zur Dekoration auf einer Welt. Er kann abgebaut werden, außer du beschützt ihn.
buildableWorldResourcesInfo.json/Boulder.name|Felsbrocken
buildableWorldResourcesInfo.json/Boulder.description|Platziere einen Felsbrocken als Dekoration auf einer Welt. Er kann abgebaut werden, außer du beschützt ihn.
|
categories/Houses.name|Häuser
categories/Production.name|Produktion
categories/Services.name|Dienstleistung
categories/Entertainment.name|Unterhaltung
categories/Transportation.name|Transport
categories/Unique Buildings.name|Spezialgebäude
categories/Decoration & Nature.name|Dekoration & Natur
|
categories/Houses.description|Baue Häuser, in denen deine Bürger wohnen können.
categories/Production.description|Baue Produktionsgebäude, um mehr Ressourcen zu erhalten.
categories/Services.description|Dienstleistungen helfen den Menschen und verbessern ihr Leben.
categories/Entertainment.description|Baue Unterhaltung, um deine Bürger bei Laune zu halten.
categories/Transportation.description|Baue Transportmittel, damit deine Bürger sich schnell auf und zwischen den Welten bewegen können.
categories/Unique Buildings.description|Von jedem dieser Spezialgebäude kann nur eines gebaut werden.
categories/Decoration & Nature.description|Platziere Dekoration auf dem Boden und pflanze Wälder.
|
cityUpgradesInfo.json/UniverseMapping.name|Präzise Kartierung des Universums
cityUpgradesInfo.json/UniverseMapping.description|Felsen-Teleporter teleportieren größere Meteoroide.
cityUpgradesInfo.json/OptimizedChipLayouts.name|Optimierte Chip-Layouts
cityUpgradesInfo.json/OptimizedChipLayouts.description|Computerchipfabriken arbeiten 33% schneller.
cityUpgradesInfo.json/MedicalMachineLearning.name|Medizinisches Maschinenlernen
cityUpgradesInfo.json/MedicalMachineLearning.description|Lässt deine Bürger länger leben.
cityUpgradesInfo.json/WoodenLiving.name|Hölzernes Wohnen
cityUpgradesInfo.json/WoodenLiving.description|Verbessert die Hausqualität aller Holzhäuser um 10.
cityUpgradesInfo.json/SpaciousLiving.name|Geräumiges Wohnen
cityUpgradesInfo.json/SpaciousLiving.description|Verbessert die Hausqualität aller Geräumigen Häuser um 15.
cityUpgradesInfo.json/SlimyLiving.name|Schleimiges Wohnen
cityUpgradesInfo.json/SlimyLiving.description|Verbessert die Hausqualität aller Alien-Häuser um 25. Schaltet außerdem eine Gebäude-Verbesserung für sie frei.
cityUpgradesInfo.json/SecretiveLiving.name|Heimliches Wohnen
cityUpgradesInfo.json/SecretiveLiving.description|Verbessert die Hausqualität des Geheimbundes des Schlüssels um 25.
cityUpgradesInfo.json/MechanicalLiving.name|Mechanisches Wohnen
cityUpgradesInfo.json/MechanicalLiving.description|Erhöht die Kapazität für einen weiteren Bewohner in allen Mechanischen Häusern und Kesselflicker-Häusern.
cityUpgradesInfo.json/SuperSpaciousLiving.name|Gesellschaftliches Wohnen
cityUpgradesInfo.json/SuperSpaciousLiving.description|Erhöht die Kapazität für einen weiteren Bewohner in allen Geräumigen Häusern.
cityUpgradesInfo.json/BirthControl.name|Geburtenkontrolle
cityUpgradesInfo.json/BirthControl.description|Ermöglicht es dir, das Bevölkerungswachstum zu verringern oder zu erhöhen.
cityUpgradesInfo.json/BuildingRecycling.name|Nachhaltiges Bauen 
cityUpgradesInfo.json/BuildingRecycling.description|Wenn du ein Gebäude zerstörst, erhältst du die Hälfte seiner Kosten zurück.
cityUpgradesInfo.json/BuildingRecycling2.name|Wiederverwertung (Bisher: Nachhaltiges Bauen)
cityUpgradesInfo.json/BuildingRecycling2.description|Wenn du ein Gebäude zerstörst, erhältst du 75% der Kosten zurück (derzeit 50%).
cityUpgradesInfo.json/BuildingRecycling3.name|Gebäude-Recycling (Bisher: Wiederverwertung)
cityUpgradesInfo.json/BuildingRecycling3.description|Wenn du ein Gebäude zerstörst, erhältst du 90% seiner Kosten zurück (derzeit 75%).
cityUpgradesInfo.json/ChipBinning.name|Chip Binning
cityUpgradesInfo.json/ChipBinning.description|Computerchipfabriken arbeiten 20% schneller.
|
decorationsInfo.json/spr_grass.name|Hohes Gras
decorationsInfo.json/spr_flowers.name|Hohes Gras mit Blumen
decorationsInfo.json/spr_decoration_rocks.name|Kleine Steine
decorationsInfo.json/spr_removedecoration.name|Dekoration entfernen
decorationsInfo.json/spr_removedecoration.description|Entferne jegliche Dekoration von der Welt
|
stories.json/theLostShip.name|Ein neuer Anfang
stories.json/theLostShip.description|Die Erde ist ein Ödland. Du hast ein Raumschiff gebaut, aber jetzt wird die Nahrung knapp. Eine winzige Welt ist deine einzige Hoffnung.
stories.json/multipleWorlds.name|Eine Zwischenweltstadt
stories.json/multipleWorlds.description|Als sich eine Welt als viel zu klein erweist, beschließt du, eine Stadt zu bauen, die die Welten überquert.
|
|
stories.json/hackersandaliens.name|Alien Tech hacken
stories.json/hackersandaliens.description|Du entdeckst einige außerirdische Einflüsse auf deinem neuesten Außenposten.
stories.json/FreePlayMegaWorld.name|Freies Spiel - Mega World
stories.json/FreePlayMegaWorld.description|Baue die Stadt deiner Träume auf dieser riesigen Welt!
stories.json/FreePlayManyWorldsRandom.name|Freies Spiel - Random Archipelago
stories.json/FreePlayManyWorldsRandom.description|Errichte eine komplexe Stadt auf dieser zufälligen Clique von Welten.
stories.json/FreePlayEmptyCanvas.name|Freies Spiel - Leere Leinwand
stories.json/FreePlayEmptyCanvas.description|Eine riesige, karge Welt, die du nach deinen Wünschen einrichten kannst, plus einige kleine Welten, die mit Ressourcen gefüllt sind.
stories.json/FreePlayDivided.name|Freies Spiel - Geteilt
stories.json/FreePlayDivided.description|Achte auf die Lücke! Sie trennt Wälder und Felsen.
stories.json/FreePlayRandomMiniWorlds.name|Freies Spiel - Zufällige Miniwelten
stories.json/FreePlayRandomMiniWorlds.description|Unzählige kleine Welten, zufällig im Raum platziert.
stories.json/FreePlayRandomMiniWorldsAndEmptyCanvas.name|Freies Spiel - Giga
stories.json/FreePlayRandomMiniWorldsAndEmptyCanvas.description|Viele winzige Miniwelten, plus eine riesige, meist leere!
stories.json/FreePlayManyWorlds.name|Freies Spiel - Archipelago Classic
stories.json/FreePlayManyWorlds.description|Errichte eine komplexe Stadt auf dieser Clique von Welten.
|
FreePlay.FreePlayStart.text|Willkommen in diesem Free Play Szenario!\nEin paar Bürger sind bereits hier. Einige weitere werden in den nächsten Tagen eintreffen.
FreePlay.FreePlayStart.planning.afterDoneMessage|Alle Bewohner deines Schiffes sind nun angekommen. Natürlich kann deine Bevölkerung durch ihre Nachkommen noch wachsen.
|
theLostShip.json/Start.text|Wir schreiben das Jahr 2142, und die Erde ist ein Ödland. Die Kolonisierung dieser winzigen Welt ist die einzige Hoffnung der Menschheit.\n\nZunächst brauchst du weitere Baumaterialien. Lass uns ein Holzfällerzentrum bauen.
theLostShip.json/Start.quickText|Baue ein Holzfällerzentrum.
theLostShip.json/BuildStoneMine.text|Gut gemacht! Sammle nun etwas Holz und baue eine Steinmine.
theLostShip.json/BuildStoneMine.quickText|Baue eine Steinmine.
theLostShip.json/GatherWoodAndStone.text|Gut gemacht! Im Moment wird niemand Stein sammeln, da jeder schon einen Job im Holzfällerzentrum hat. Lass uns einige dieser Arbeiter neu zuweisen.
theLostShip.json/GatherWoodAndStone.quickText|Sammle 6 Holz und 4 Stein. Du musst ein paar Arbeiter neu zuweisen.
theLostShip.json/BuildIndoorFarmAndHouse.text|Du hast ein Raumschiff benutzt, um hierher zu kommen. Einige deiner Freunde sind noch an Bord. Du wirst ihnen einen Platz zum Leben geben wollen. Eine stetige Nahrungsversorgung wäre auch schön.\n\n Um diese Ziele zu erreichen, lass uns ein Haus und ein Gewächshaus bauen.[nonmobi] Bitte beachte, dass Gebäude gestapelt werden können.
theLostShip.json/BuildIndoorFarmAndHouse.quickText|Baue ein Haus und ein Gewächshaus.
theLostShip.json/SpawnMorePeople.text|Gut gemacht! Bald werden noch mehr Leute ankommen.\nEs könnte hilfreich sein, etwas mehr über diese Welt zu erfahren. Vor allem die Alien-Ruinen sehen recht interessant aus. Lass uns ein Erkundungszentrum bauen, um alles über sie zu erfahren und vielleicht auch ein paar nützliche Ressourcen zu bekommen.
theLostShip.json/SpawnMorePeople.quickText|Baue ein Erkundungszentrum.
theLostShip.json/NowArrivingRegularly.text|Neue Leute werden nun regelmäßig ankommen. Sorge dafür, dass sie ernährt und untergebracht werden. Außerdem können von nun an Kinder geboren werden. Du kannst eine Schule für sie bauen, wenn du willst. Um deine Stadt auszubauen, brauchst du viel Stein, also lass uns eine weitere Steinmine bauen.
theLostShip.json/NowArrivingRegularly.quickText|Baue eine zweite Steinmine.
theLostShip.json/StoneMineUpgrade.text|Du kannst jetzt auf die Hütte der Pioniere [nonmobi]klicken[mobi]tippen[/], um ein Upgrade auszuwählen.\n[c]Deine Steinminenarbeiter haben nun dank der Verbesserung Bessere Spitzhacken eine gute Ausrüstung. Tolle Arbeit![/][n]Deine Steinminenarbeiter arbeiten derzeit mit minderwertiger Bergbauausrüstung. Bessere Spitzhacken würden ihre Abbaugeschwindigkeit verbessern. Rüste mindestens eine deiner Steinminen auf. [nonmobi]Klicke[mobi]Tippe[/] dazu auf die Steinmine und dann auf die Verbesserung Bessere Spitzhacken.
theLostShip.json/StoneMineUpgrade.quickText|Rüste eine Steinmine mit besseren Spitzhacken auf.
theLostShip.json/Happiness.text|Jetzt, wo du eine ziemlich gute Wirtschaft hast, ist es an der Zeit, sich ein wenig um das Wohlergehen deiner Bürger zu kümmern. Nicht, dass das keinen wirtschaftlichen Vorteil bringen würde, denn glückliche Bürger arbeiten schneller. Um sie noch glücklicher zu machen, lass uns eine Kneipe bauen. Stelle außerdem sicher, dass du mindestens 10 Lebensmittel hast.
theLostShip.json/Happiness.quickText|Baue eine Kneipe und habe mindestens 10 Essen.
theLostShip.json/BuildMachinePartsFactory.text|Tolle Arbeit! Achte darauf, dass tatsächlich jemand in der Kneipe arbeitet, sonst hat es keinen Effekt!\nDie Stadt wird Maschinen brauchen. [c]Zum Glück hast du vorausgeschaut und bereits eine Fabrik für Maschinenteile gebaut.[/c][n]Lass uns eine Fabrik für Maschinenteile bauen, um sie konstruieren zu können.[/n]
theLostShip.json/BuildMachinePartsFactory.quickText|Baue eine Maschinenteilefabrik.
theLostShip.json/GetMinHappiness.text|Die Fabrik für Maschinenteile benötigt viel Stein, also stelle sicher, dass du genug hast! Wenn du Stein für etwas anderes brauchst, schalte sie einfach für eine Weile aus.[n]\n Es ist immer schön, glückliche Gesichter zu sehen, nicht wahr? Lass uns dafür sorgen, dass die Zufriedenheit in deiner Stadt mindestens 52 ist. Klicke einfach auf den Zufriedenheits-Knopf, wenn du sehen möchtest, welche Bereiche verbessert werden könnten.[/n]
theLostShip.json/GetMinHappiness.quickText|Bringe die Zufriedenheit in deiner Stadt über 52.
theLostShip.json/BuildStoneTeleporter.text|Die Menge an Stein auf diesem Planeten ist ziemlich begrenzt. Glücklicherweise hast du gerade eine Möglichkeit gefunden, dieses Problem zu lösen: ein Steinteleporter könnte abbaubare Steine von anderswo her teleportieren. Lass uns forschen und einen bauen. Vielleicht möchtest du ein paar Labore bauen, um mehr Wissen zu bekommen.
theLostShip.json/BuildStoneTeleporter.quickText|Baue einen Felsteleporter.
theLostShip.json/BuildObservatory.text|Gut gemacht! Jetzt wird dir der Stein nie ausgehen.\nDeine Bevölkerung wächst schnell, und diese Welt ist ziemlich klein. Es ist wahrscheinlich eine gute Idee, nach anderen Welten zum Kolonisieren zu suchen, also lass uns ein Observatorium bauen.
theLostShip.json/BuildObservatory.quickText|Baue das Observatorium.
theLostShip.json/Win.title|Szenario abgeschlossen!
theLostShip.json/Win.text|Gute Arbeit! Deine Wissenschaftler werden nun nach anderen Welten suchen, um sie zu kolonisieren. Du kannst das nächste Szenario spielen, um zu sehen, was sie finden werden.\nWenn du diese Stadt weiter verbessern möchtest, kannst du jederzeit später über das Menü zum nächsten Szenario gehen.
|
multipleWorlds.json/Start.text|Kurz nachdem du das Observatorium gebaut hast, haben deine Wissenschaftler eine Welt gefunden, die vielversprechend aussah. Du hast beschlossen, dorthin zu fliegen und sie dir anzusehen. Offensichtlich haben deine Wissenschaftler nicht sehr genau hingeschaut, denn was sie für eine Welt hielten, sind in Wirklichkeit mehrere kleine Welten. Trotzdem sieht es so aus, als wäre dies ein ziemlich geeigneter Ort, um eine Stadt zu bauen.\nUm anzufangen, lass uns ein Holzfällerzentrum, eine Steinmine, ein Gewächshaus und ein Haus bauen.
multipleWorlds.json/Start.quickText|Baue ein Holzfällerzentrum, eine Steinmine, ein Gewächshaus und ein Haus.
multipleWorlds.json/MorePeople.text|Das ist schon mal ein guter Anfang! Du hast einige Leute aus deiner vorherigen Stadt eingeladen. Sie werden in den nächsten Tagen ankommen. Deine Bürger scheinen im Moment nicht sehr glücklich zu sein. Lass uns eine Kneipe bauen, um sie ein wenig aufzumuntern.
multipleWorlds.json/MorePeople.quickText|Baue eine Kneipe.
multipleWorlds.json/GoBuildMPF.text|Die Kneipe sollte deine Bürger ein bisschen weniger traurig machen! Um zu den anderen Welten zu gelangen, brauchst du Maschinenteile, also lass uns eine Fabrik für Maschinenteile bauen.
multipleWorlds.json/GoBuildMPF.quickText|Baue eine Fabrik für Maschinenteile.
multipleWorlds.json/MachinePartsFactoryBuilt.text|Die Fabrik für Maschinenteile ist sehr nützlich, aber momentan nicht sehr effizient. Baue sie so aus, dass sie Schrott recycelt. Das wird die Menge an Stein reduzieren, die sie verbraucht.
multipleWorlds.json/MachinePartsFactoryBuilt.quickText|Rüste deine Fabrik für Maschinenteile auf, damit sie Schrott recyceln kann.
multipleWorlds.json/GoToOtherWorlds.text|[c]Du hast bereits einige Landeplätze gebaut, um Welten zu verbinden. Gute Arbeit![/][n]Gute Arbeit! Nun ist es endlich an der Zeit, in eine andere Welt zu gelangen. Am einfachsten geht das, indem du Landeplätze baust. Lass uns zwei davon bauen: einen auf deiner aktuellen Welt und einen auf einer anderen Welt, die du besiedeln möchtest[/]
multipleWorlds.json/GoToOtherWorlds.quickText|Verbinde die aktuell besiedelte Welt mit einer anderen, indem du Landeplätze baust.
multipleWorlds.json/GoToOtherWorldsDone.text|[c]Du hast bereits eine experimentelle Farm gebaut! Gut gemacht![/][n]Jetzt, wo deine Stadt etwas mehr Platz hat, wird sie wahrscheinlich schnell wachsen. Du wirst bald viele weitere Münder zu füttern haben. Um das ein wenig zu erleichtern, lass uns eine experimentelle Farm bauen.
multipleWorlds.json/GoToOtherWorldsDone.quickText|Baue eine Versuchsfarm.
multipleWorlds.json/GoBuildRefinedMetalFactory.text|[c]Du hast bereits eine Fabrik für veredelte Metalle gebaut! Gute Arbeit![/][n]Um einige Gebäude zu bauen, ist roher Stein nicht gut genug. Du musst ihn zuerst verfeinern. Lass uns eine Fabrik für veredelte Metalle bauen, um genau das zu tun[/].
multipleWorlds.json/GoBuildRefinedMetalFactory.quickText|Baue eine Fabrik für veredelte Metalle.
multipleWorlds.json/GetHighHappiness.text|[c]Wow, ich bin beeindruckt! Du hast bereits genug Zufriedenheit, um dieses Ziel zu erreichen.[/][n]Raffinierte Metalle sind schön, aber glückliche Bürger sind sicherlich noch schöner. Also lass uns einige dieser veredelten Metalle verwenden, um die Zufriedenheit deiner Bürger zu verbessern. Bringe sie auf mindestens 80.[/]
multipleWorlds.json/GetHighHappiness.quickText|Bringe die Zufriedenheit über 80. Dies schließt temporäre Boosts aus.
multipleWorlds.json/Win.title|Szenario abgeschlossen!
multipleWorlds.json/Win.text|Deine Bürger sind jetzt wirklich glücklich und würden nirgendwo anders leben wollen. Du kannst jetzt das nächste Szenario spielen oder deine Stadt weiter verbessern, wenn du möchtest. Danke fürs Spielen!
|
hackersandaliens.json/Start.text|Die Menschheit kolonisiert langsam den Weltraum. Dies ist der neueste Außenposten. Er ist noch recht klein, aber neue Menschen kommen schnell an.\nDu willst natürlich nicht, dass sie obdachlos werden. Um das zu verhindern, baue Häuser, bis du mindestens fünfzig Kapazitäten hast.
hackersandaliens.json/Start.quickText|Baue Häuser, bis du insgesamt fünfzig Kapazitäten hast.
|
hackersandaliens.json/ExploreAlienRuins.quickText|Erforsche die Alien-Ruinen auf dieser Welt.
hackersandaliens.json/ExploreAlienRuins2.text|Gut gemacht!\nDie Alien-Ruinen hier sehen anders aus als die, die du vorher gesehen hast. Lass uns sie erforschen, um mehr herauszufinden.\n\nAußerdem haben einige der Welten hier ein seltsames Glühen. Lass uns ein Forschungsschiff bauen, um dies zu untersuchen, während du die Ruinen erkundest.
hackersandaliens.json/ExploreAlienRuins2.quickText|Baue ein Forschungsschiff und erforsche die Alien-Ruinen auf dieser Welt.
hackersandaliens.json/InTheMeantime2.text|Jetzt, wo du das Raumschiff gebaut hast, ist es an der Zeit, zu forschen! Sorge dafür, dass ein Arbeiter dem Forschungsraumschiff zugewiesen wird und warte, bis er ein wenig erforscht hat.
hackersandaliens.json/InTheMeantime2.quickText|Weise dem Forschungsraumschiff einen Arbeiter zu und warte, bis er ein wenig erforscht hat.
hackersandaliens.json/InTheMeantime3.text|Der Arbeiter im Forschungsraumschiff hat bemerkt, dass eine seltsame Macht sie daran hindert, in die Nähe der glühenden Welten zu kommen. Das bedeutet auch, dass sie nicht auf ihnen bauen können. Vielleicht können die Alien-Ruinen helfen?
hackersandaliens.json/InTheMeantime3.quickText|Erforsche die Alien-Ruinen auf dieser Welt.
